iter	Passed	Remaining
0	61	51956
1	66	28156
2	70	19928
3	77	16367
4	80	13683
5	84	11938
6	90	10868
7	93	9817
8	96	9023
9	99	8373
10	106	8096
11	111	7806
12	115	7456
13	119	7156
14	122	6820
15	126	6578
16	130	6377
17	134	6234
18	138	6039
19	141	5890
20	145	5726
21	150	5663
22	153	5512
23	156	5402
24	160	5280
25	164	5202
26	169	5169
27	172	5070
28	175	4973
29	179	4912
30	184	4864
31	188	4807
32	191	4729
33	195	4682
34	199	4647
35	202	4587
36	207	4549
37	210	4499
38	213	4436
39	217	4394
40	220	4342
41	224	4318
42	227	4269
43	232	4260
44	235	4215
45	239	4181
46	242	4144
47	248	4155
48	251	4113
49	256	4097
50	264	4139
51	267	4101
52	271	4076
53	274	4039
54	278	4026
55	282	4007
56	286	3981
57	289	3949
58	293	3928
59	301	3967
60	307	3971
61	311	3961
62	314	3932
63	319	3918
64	322	3890
65	327	3884
66	330	3856
67	333	3835
68	336	3809
69	343	3827
70	349	3830
71	353	3818
72	359	3826
73	362	3806
74	366	3782
75	368	3754
76	373	3747
77	377	3732
78	380	3714
79	383	3692
80	388	3688
81	391	3667
82	396	3660
83	399	3640
84	404	3636
85	409	3633
86	411	3606
87	418	3623
88	422	3616
89	426	3602
90	429	3583
91	434	3579
92	437	3562
93	441	3554
94	445	3538
95	450	3541
96	454	3531
97	458	3516
98	467	3547
99	473	3549
100	477	3538
101	480	3522
102	488	3540
103	495	3552
104	502	3567
105	505	3550
106	509	3538
107	513	3524
108	518	3524
109	521	3507
110	525	3500
111	532	3510
112	536	3499
113	540	3487
114	543	3474
115	550	3482
116	553	3467
117	557	3460
118	561	3448
119	567	3453
120	571	3442
121	574	3430
122	579	3426
123	583	3416
124	588	3414
125	592	3406
126	597	3401
127	600	3389
128	605	3382
129	609	3374
130	613	3369
131	617	3360
132	621	3349
133	631	3371
134	634	3361
135	638	3349
136	645	3358
137	649	3349
138	653	3341
139	658	3340
140	663	3337
141	667	3329
142	671	3320
143	679	3333
144	687	3344
145	694	3349
146	697	3336
147	702	3332
148	710	3344
149	714	3334
150	719	3330
151	729	3350
152	740	3371
153	745	3370
154	750	3367
155	757	3368
156	760	3355
157	764	3347
158	768	3338
159	774	3339
160	780	3340
161	785	3333
162	788	3324
163	791	3312
164	797	3310
165	803	3309
166	806	3298
167	810	3290
168	815	3285
169	824	3296
170	830	3299
171	840	3311
172	845	3306
173	853	3314
174	857	3308
175	861	3298
176	866	3296
177	873	3299
178	879	3295
179	887	3303
180	892	3297
181	897	3294
182	903	3294
183	908	3288
184	914	3285
185	917	3276
186	920	3265
187	924	3254
188	928	3247
189	934	3245
190	937	3235
191	941	3227
192	948	3227
193	951	3216
194	955	3209
195	959	3201
196	964	3197
197	969	3191
198	974	3189
199	978	3179
200	981	3168
201	985	3161
202	988	3151
203	992	3143
204	996	3134
205	999	3123
206	1003	3115
207	1007	3110
208	1011	3101
209	1014	3091
210	1018	3083
211	1021	3074
212	1026	3068
213	1028	3055
214	1031	3047
215	1036	3041
216	1040	3035
217	1044	3026
218	1048	3021
219	1051	3011
220	1058	3012
221	1065	3014
222	1069	3007
223	1074	3003
224	1078	2994
225	1082	2988
226	1087	2984
227	1090	2974
228	1094	2967
229	1097	2959
230	1102	2955
231	1105	2945
232	1110	2940
233	1113	2930
234	1118	2926
235	1121	2918
236	1125	2911
237	1128	2901
238	1132	2896
239	1136	2887
240	1140	2881
241	1143	2873
242	1147	2866
243	1151	2859
244	1154	2851
245	1157	2842
246	1160	2834
247	1164	2826
248	1167	2817
249	1170	2810
250	1174	2803
251	1178	2796
252	1182	2791
253	1186	2784
254	1189	2775
255	1193	2769
256	1198	2765
257	1202	2758
258	1206	2752
259	1210	2745
260	1214	2741
261	1218	2733
262	1220	2725
263	1225	2719
264	1229	2713
265	1233	2708
266	1236	2699
267	1239	2692
268	1243	2685
269	1248	2682
270	1254	2681
271	1258	2673
272	1262	2668
273	1265	2660
274	1269	2653
275	1272	2645
276	1276	2640
277	1285	2645
278	1290	2641
279	1295	2637
280	1298	2629
281	1304	2626
282	1309	2624
283	1313	2616
284	1317	2611
285	1320	2603
286	1327	2604
287	1330	2596
288	1335	2592
289	1339	2586
290	1344	2582
291	1349	2578
292	1353	2572
293	1358	2569
294	1362	2563
295	1372	2569
296	1381	2571
297	1387	2570
298	1391	2563
299	1395	2557
300	1399	2551
301	1406	2552
302	1410	2546
303	1414	2540
304	1421	2539
305	1425	2534
306	1431	2532
307	1436	2528
308	1444	2529
309	1450	2526
310	1455	2521
311	1458	2514
312	1464	2512
313	1469	2508
314	1472	2501
315	1476	2494
316	1481	2491
317	1486	2486
318	1489	2479
319	1493	2474
320	1497	2468
321	1502	2464
322	1505	2456
323	1510	2451
324	1517	2450
