,customer_id,balance_account,purchases_amount,paid_advance,full_purchases,balance_frequency_update,installments,purchases_frequency,full_purchases_frequency,purchases_installments_frequency,cash_advance_frequency,nr_cash_advances,nr_purchases,credit_limit,fixed_rate_period,payments,min_payments,full_payment_prc
0,tGEg8fT2eCgVxdwS,9.298409,107.6,0.0,0.0,0.909091,107.6,0.909091,0.0,0.818182,0.0,0.0,10.0,1000.0,11.0,89.868853,89.711672,0.428571
1,stEDu20sSKOXomjg,52.666422,150.3,0.0,0.0,1.0,150.3,1.0,0.0,0.833333,0.0,0.0,6.0,1000.0,6.0,54.722514,82.95518,0.0
2,CEB2blrN3b88GsRe,1360.795674,0.0,462.861443,0.0,1.0,0.0,0.0,0.0,0.0,0.272727,6.0,0.0,1500.0,11.0,303.031979,443.781316,0.0
3,0N0eBl8ySaZThxKE,2021.641161,363.18,0.0,363.18,1.0,0.0,1.0,1.0,0.0,0.0,0.0,13.0,2000.0,12.0,704.24077,795.859808,0.0
4,6NLauoHUwtwOv4Wy,22.322374,95.0,1162.045833,95.0,0.363636,0.0,0.083333,0.083333,0.0,0.166667,3.0,1.0,2500.0,12.0,4094.261427,40.142262,0.0
5,3Zx75mmL4wXFf36M,9266.08054,100.0,4383.296268,0.0,1.0,100.0,0.333333,0.0,0.25,0.166667,3.0,4.0,17500.0,12.0,2444.123547,2603.406476,0.0
6,VIncqsQDzbMSsvL9,97.389327,60.0,0.0,60.0,1.0,0.0,0.083333,0.083333,0.0,0.0,0.0,1.0,12500.0,12.0,453.421982,204.88001,0.0
7,fDoLh1FTtFMuu3xs,4788.283283,0.0,437.80858600000005,0.0,1.0,0.0,0.0,0.0,0.0,0.166667,2.0,0.0,5000.0,12.0,823.840717,1934.821741,0.0
8,OpclyuJ9WGTLImw1,319.037744,1262.28,0.0,1262.28,0.818182,0.0,0.25,0.25,0.0,0.0,0.0,6.0,10500.0,12.0,1350.541585,218.810614,0.125
9,k2GbzBNCo0TQmwaw,1641.251218,0.0,2990.165538,0.0,0.727273,0.0,0.0,0.0,0.0,0.166667,4.0,0.0,3000.0,12.0,4399.723425,500.276155,0.14285699999999998
10,tKxL5rE73TQL43Vb,179.35720600000005,497.15,0.0,497.15,1.0,0.0,0.416667,0.416667,0.0,0.0,0.0,6.0,1200.0,12.0,291.121154,180.093054,0.0
11,w5Ld64atScO1TKqb,639.73038,951.05,0.0,785.05,1.0,166.0,0.5,0.5,0.083333,0.0,0.0,8.0,2600.0,12.0,693.3028929999998,227.955037,0.0
12,JC9XINBsvY4kxyhv,7499.6580840000015,160.0,3603.787202,160.0,1.0,0.0,0.166667,0.166667,0.0,0.166667,3.0,2.0,13550.0,12.0,1962.972636,1849.313897,0.0
13,FhpkNrprbXsmN5BT,303.054817,894.4,0.0,609.4,0.636364,285.0,0.636364,0.363636,0.454545,0.0,0.0,12.0,4000.0,11.0,183.620398,128.25155,0.0
14,uDs0DVNfG7EDdaTE,3516.835582,4019.73,0.0,1932.75,1.0,2086.98,0.916667,0.916667,1.0,0.0,0.0,73.0,12000.0,12.0,3376.57379,910.942173,0.0
15,WtRLwDebGjO2TZES,179.882212,828.0,0.0,0.0,1.0,828.0,1.0,0.0,1.0,0.0,0.0,12.0,1000.0,12.0,649.951462,152.775223,0.3
16,ehzMf38keulF4fSJ,2739.711796,847.66,1201.188255,765.8,1.0,81.86,1.0,1.0,0.583333,0.083333,1.0,20.0,7500.0,12.0,3273.326636,718.558976,0.0
17,H8Hm7TvThVB3dbSi,1361.815512,1309.72,814.086208,1106.81,1.0,202.91,0.916667,0.75,0.916667,0.75,9.0,53.0,1700.0,12.0,1668.192483,585.993296,0.0
18,ZgZDmu1CQM3jqFB5,1630.620638,0.0,381.541722,0.0,1.0,0.0,0.0,0.0,0.0,0.166667,2.0,0.0,2100.0,12.0,1117.714796,459.78287300000005,0.0
19,WHWy3OQxpYdblb4z,1200.937942,0.0,1981.157622,0.0,0.833333,0.0,0.0,0.0,0.0,0.5,4.0,0.0,2000.0,6.0,152.10636100000005,200.106261,0.0
20,DHLICFofF4NbkTI1,251.273637,1861.74,0.0,1861.74,0.272727,0.0,0.25,0.25,0.0,0.0,0.0,31.0,3000.0,12.0,195.73661,273.119363,0.0
21,pu5OvXyrkvF8WEX4,4202.1695,462.0,4776.10477,462.0,1.0,0.0,0.166667,0.166667,0.0,0.416667,10.0,2.0,8000.0,12.0,1010.799168,1541.756326,0.0
22,5cNICvDuU70oSxHV,486.661842,1898.88,0.0,939.09,0.833333,959.79,0.833333,0.666667,0.666667,0.0,0.0,24.0,1200.0,6.0,669.0396400000002,336.880119,0.5
23,FACjJK6oE84bwwvl,1647.932117,0.0,93.690441,0.0,1.0,0.0,0.0,0.0,0.0,0.333333,4.0,0.0,1800.0,12.0,390.2023,717.310059,0.0
24,Hik1ahI9PjnV7wHy,463.07144000000005,1817.84,0.0,1817.84,1.0,0.0,0.333333,0.333333,0.0,0.0,0.0,4.0,6000.0,12.0,0.0,240.286467264187,0.0
25,ARqrqXYtVOsCKAqA,293.118363,368.91,683.536421,0.0,1.0,368.91,0.75,0.0,0.75,0.166667,3.0,18.0,1800.0,12.0,1309.489418,195.953485,0.166667
26,Tpugf58tjiahDh1d,1191.662907,979.92,0.0,849.92,1.0,130.0,0.75,0.416667,0.416667,0.0,0.0,18.0,4350.0,12.0,278.328435,470.064242,0.0
27,xErcXVe5RtT8Z558,28.329892,292.59,0.0,292.59,1.0,0.0,1.0,1.0,0.0,0.0,0.0,12.0,5000.0,12.0,0.0,103.83114771302307,0.0
28,4Z2mnzQfPiRKpUun,140.120632,644.16,0.0,0.0,1.0,644.16,0.916667,0.0,0.833333,0.0,0.0,11.0,1500.0,12.0,399.905138,163.128265,0.0
29,C9WDDshw5YIAvH0c,0.0,240.1,0.0,0.0,0.0,240.1,0.583333,0.0,0.583333,0.0,0.0,7.0,2500.0,12.0,0.0,113.60881004470073,0.0
30,2OE6FDDUonpWEHlF,41.386295,194.57,0.0,194.57,0.363636,0.0,0.166667,0.166667,0.0,0.0,0.0,2.0,2200.0,12.0,470.431305,169.999931,0.0
31,pyXw1HebdZh1GmYc,888.101401,100.0,896.5789900000002,0.0,1.0,100.0,0.222222,0.0,0.111111,0.111111,2.0,2.0,1000.0,9.0,212.755352,527.241583,0.0
32,49K9rRYmdhzDfAXa,1827.647786,596.64,449.505151,0.0,1.0,596.64,1.0,0.0,1.0,0.083333,4.0,12.0,2000.0,12.0,911.09047,867.5382710000001,0.0
33,vbBu4bcBMKCS3YcJ,41.461969,550.08,0.0,0.0,0.272727,550.08,0.25,0.0,0.166667,0.0,0.0,4.0,6000.0,12.0,1104.875573,168.561947,1.0
34,atsyYkbi3JB6BCL2,10.386311,171.6,0.0,0.0,0.818182,171.6,1.0,0.0,1.0,0.0,0.0,12.0,4000.0,12.0,168.370514,82.263245,0.454545
35,rcz0JOrd7ZMNFTEs,1667.8517880000004,0.0,5133.373227,0.0,0.9,0.0,0.0,0.0,0.0,0.6,13.0,0.0,3000.0,10.0,2822.457351,471.885081,0.125
36,ZevoH0bCoWq19IP5,1273.498021,449.28,0.0,0.0,1.0,449.28,1.0,0.0,1.0,0.0,0.0,12.0,1200.0,12.0,475.727103,4224.383226,0.0
37,X8SSg3UXqcxu5Ktd,5432.113514,793.1,6245.023709,793.1,1.0,0.0,0.583333,0.583333,0.0,0.5,15.0,13.0,10000.0,12.0,1261.909483,1290.536388,0.0
38,sYAP5BgHHjmvJ5XO,61.463647,0.0,989.053104,0.0,0.166667,0.0,0.0,0.0,0.0,0.166667,2.0,0.0,1200.0,6.0,0.0,204.0326879154481,0.0
